listing_id,host_id,listing_type,reviews,satisfaction_rate,accommodates,bedrooms,price,latitude,longitude
13037490,3628003,Shared room,13,5,4,1,38,51.477175,-2.610234
1058214,1474050,Shared room,23,4,1,1,27,51.456301,-2.606794
6889638,35406669,Shared room,124,4.5,2,1,35,51.451271,-2.589923
4675994,12629324,Shared room,124,4.5,2,1,29,51.446427,-2.613396
16433280,6361084,Entire home/apt,0,0,4,2,139,51.465855,-2.593194
13290486,74990295,Entire home/apt,42,5,4,1,107,51.44039,-2.582865
14190743,86037251,Entire home/apt,0,0,8,4,284,51.495573,-2.603492
13758459,80655764,Entire home/apt,1,0,8,4,165,51.468686,-2.5877
9507427,24124157,Entire home/apt,10,5,4,2,155,51.483542,-2.586823
3960179,20522861,Entire home/apt,1,0,5,3,136,51.496993,-2.646597
14262661,33149399,Entire home/apt,5,5,4,2,127,51.435635,-2.610675
4980379,25674676,Entire home/apt,49,5,3,1,132,51.469873,-2.612178
12013639,30960963,Entire home/apt,51,4.5,5,3,121,51.47941,-2.587975
7541600,12144343,Entire home/apt,16,5,4,2,89,51.435293,-2.61003
14547898,90024405,Entire home/apt,10,4.5,4,2,101,51.455863,-2.586159
6276113,32620239,Entire home/apt,31,5,6,2,101,51.452564,-2.624568
16320769,75055267,Entire home/apt,0,0,4,1,76,51.460838,-2.590966
12534917,7064308,Entire home/apt,6,5,4,2,247,51.452879,-2.624192
15824790,53543750,Entire home/apt,1,0,5,3,161,51.497574,-2.647931
8959370,2022733,Entire home/apt,1,0,6,3,151,51.483479,-2.5217
13340037,20648813,Entire home/apt,0,0,2,1,151,51.452874,-2.593334
16398857,30262349,Entire home/apt,0,0,4,2,151,51.45423,-2.617863
12038639,64443484,Entire home/apt,6,4.5,4,2,151,51.441217,-2.613502
6102243,14666719,Entire home/apt,39,4.5,4,2,177,51.436461,-2.602617
13516897,64867048,Entire home/apt,0,0,8,4,165,51.470915,-2.586011
13573568,65252235,Entire home/apt,13,4.5,6,3,177,51.457588,-2.556188
11473266,45600223,Entire home/apt,10,4.5,6,3,171,51.454522,-2.622345
13245945,74455575,Entire home/apt,23,5,4,1,101,51.478047,-2.588901
14942026,6316569,Entire home/apt,2,0,2,0,72,51.454676,-2.603093
11444771,60164917,Entire home/apt,5,5,4,2,68,51.476981,-2.578764
9573045,5920932,Entire home/apt,6,4.5,2,1,70,51.443853,-2.594301
15020349,6316569,Entire home/apt,1,0,2,0,72,51.454306,-2.599004
14101199,78813105,Entire home/apt,3,4,2,0,76,51.454416,-2.601731
6876686,36036092,Entire home/apt,0,0,4,2,76,51.437059,-2.580146
16295790,106612333,Entire home/apt,0,0,2,1,70,51.447403,-2.613855
12624159,55688519,Entire home/apt,0,0,2,2,66,51.440006,-2.59632
16372414,12751242,Entire home/apt,0,0,2,0,63,51.471891,-2.563409
13477343,47964596,Entire home/apt,0,0,4,2,74,51.495752,-2.575589
8735246,45831113,Entire home/apt,9,5,2,1,82,51.456551,-2.580465
7068380,37060301,Entire home/apt,5,5,10,5,74,51.471792,-2.583909
5923926,21546627,Entire home/apt,5,4,3,1,70,51.459984,-2.548957
15176944,96325265,Entire home/apt,10,4.5,2,1,63,51.467344,-2.607148
6982986,32043430,Entire home/apt,11,5,2,1,63,51.453646,-2.538057
4521395,23421319,Entire home/apt,53,4.5,2,0,82,51.451656,-2.545024
8716642,39026590,Entire home/apt,143,4.5,4,1,66,51.454682,-2.593745
13993634,80431142,Entire home/apt,12,5,4,1,76,51.454616,-2.59367
13984967,83460028,Entire home/apt,0,0,16,5,876,51.479649,-2.63925
12987193,65463753,Entire home/apt,13,5,14,5,759,51.505121,-2.612113
10585756,50314124,Entire home/apt,19,5,14,4,632,51.473046,-2.593353
14724540,88368320,Entire home/apt,4,4.5,16,5,634,51.486969,-2.677178
1337681,7254449,Entire home/apt,7,4.5,8,5,443,51.47366,-2.639052
6668238,5384773,Entire home/apt,22,5,10,5,475,51.474625,-2.597183
6406525,13685989,Entire home/apt,11,5,6,3,316,51.472953,-2.593096
13837368,15071568,Entire home/apt,10,4.5,8,4,348,51.468375,-2.617817
11264516,6386989,Entire home/apt,5,5,7,5,362,51.451392,-2.620423
4322304,22441461,Entire home/apt,27,5,10,5,507,51.451474,-2.617641
13844007,42471628,Entire home/apt,0,0,8,0,500,51.472315,-2.607319
13558199,20648813,Entire home/apt,0,0,6,3,427,51.453346,-2.59622
7152274,33953991,Entire home/apt,14,5,8,4,507,51.466391,-2.582708
15763166,21281589,Entire home/apt,0,0,10,4,348,51.443796,-2.580021
341227,237360,Entire home/apt,27,5,14,5,443,51.466615,-2.58709
15223965,96755593,Entire home/apt,3,4.5,14,5,380,51.453092,-2.608305
11904186,24731691,Entire home/apt,28,5,7,3,316,51.466002,-2.583767
13345449,27171524,Entire home/apt,13,5,8,4,316,51.468612,-2.609299
